ID_ALUNO,NOME,ANO,CLUSTER,IAN_LAG,IEG,IDA,IPS,IPP,IPV,PEDRA,PERFIL,KPI_CRITICO,DIAGNOSTICO,ACAO
958,ALUNO-958,2022,2,5.0,8.80128205128205,5.8,5.0,7.03125,6.7499975,Ágata,Falha de aprendizado,IPS,Baixa participação,Promover participação com controle de presença e atividades semanais
861,Aluno-861,2023,0,5.0,10.0,9.6,8.13,7.34375,8.92,Topázio,Deterioração gradual,IDA,Baixo desempenho acadêmico,Ação deve ser tomada com direcionamento do conteúdo e adaptação de exercícios
688,Aluno-688,2024,0,5.0,10.0,7.5,8.13,7.34375,9.45,Topázio,Deterioração gradual,IPV,Baixa velocidade de aprendizado,Ajustar ritmo de ensino com reforço incremental e revisão contínua
643,Aluno-643,2023,0,5.0,8.2,7.1,7.52,7.34375,7.613333333,Ametista,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
614,Aluno-614,2022,0,10.0,9.7,9.6,7.5,7.34375,8.278,Topázio,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1196,Aluno-1196,2023,2,10.0,8.2,7.5,5.0,7.34375,8.045,Ametista,Falha de aprendizado,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
907,ALUNO-907,2021,3,10.0,3.8,3.1,7.5,7.3,7.6,Quartzo,Queda recente de aprendizado,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1197,ALUNO-1197,2021,0,10.0,8.3,7.8,7.5,7.8,7.3,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1219,ALUNO-1219,2022,1,10.0,8.36904761904762,8.05555555555555,7.5,6.04166666666666,8.500005,Ametista,Risco estrutural,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
518,Aluno-518,2022,0,10.0,9.4,7.5,7.5,7.34375,7.5,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1017,ALUNO-1017,2021,0,10.0,7.2,5.8,7.5,7.9,9.2,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
319,Aluno-319,2023,2,10.0,9.2,7.2,5.0,7.34375,8.88,Topázio,Falha de aprendizado,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
319,ALUNO-319,2021,0,10.0,9.6,8.2,6.9,7.3,8.0,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
968,Aluno-968,2024,0,5.0,8.8095238095,7.75,7.51,7.34375,7.6675,Ametista,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
441,ALUNO-441,2021,0,10.0,7.9,7.8,6.3,8.1,8.0,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
832,Aluno-832,2024,0,5.0,8.695652174,8.0,7.51,7.34375,7.5,Topázio,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
485,Aluno-485,2022,3,5.0,4.0,1.2,7.5,7.34375,5.444,Quartzo,Queda recente de aprendizado,IPV,Baixa velocidade de aprendizado,Ajustar ritmo de ensino com reforço incremental e revisão contínua
991,Aluno-991,2023,2,5.0,9.1,7.7,3.14,7.34375,9.585,Ametista,Falha de aprendizado,IDA,Baixo desempenho acadêmico,Ação deve ser tomada com direcionamento do conteúdo e adaptação de exercícios
975,Aluno-975,2024,2,10.0,7.7083333335,8.0,5.01,7.34375,7.33,Ametista,Falha de aprendizado,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
637,Aluno-637,2024,0,5.0,6.2272727275,7.75,7.51,7.34375,7.776666667,Ametista,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
1187,Aluno-1187,2023,2,5.0,6.9,5.3,2.52,7.34375,6.715,Agata,Falha de aprendizado,IPS,Baixa participação,Promover participação com controle de presença e atividades semanais
91,ALUNO-91,2021,3,10.0,0.0,2.2,7.5,5.6,2.5,Quartzo,Queda recente de aprendizado,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
168,ALUNO-168,2022,1,5.0,6.00280112044817,6.13333333333333,6.25,6.04166666666666,6.88888333333333,Ágata,Risco estrutural,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
858,Aluno-858,2023,2,5.0,8.1,9.3,3.77,7.34375,7.946666667,Ametista,Falha de aprendizado,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
584,Aluno-584,2024,3,10.0,5.63636363633333,4.33333333333333,8.755,7.34375,6.37,Agata,Queda recente de aprendizado,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
251,ALUNO-251,2022,0,10.0,7.90684624017957,7.83333333333333,7.5,6.25,8.44444666666666,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
300,Aluno-300,2023,2,5.0,7.5,4.5,2.52,7.34375,6.5875,Quartzo,Falha de aprendizado,IPS,Baixa participação,Promover participação com controle de presença e atividades semanais
81,ALUNO-81,2022,0,5.0,7.402950310559,6.65555555555555,8.125,7.5,8.83333666666666,Ametista,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
926,ALUNO-926,2021,2,5.0,7.9,6.9,5.0,7.5,8.1,Ametista,Falha de aprendizado,IPP,Baixa persistência,Trabalhar persistência com acompanhamento individual e metas de continuidade
718,Aluno-718,2022,0,5.0,8.9,9.2,6.3,7.34375,7.417,Topázio,Deterioração gradual,IDA,Baixo desempenho acadêmico,Ação deve ser tomada com direcionamento do conteúdo e adaptação de exercícios
1215,Aluno-1215,2023,3,5.0,5.6,4.1,5.0,7.34375,7.1725,Agata,Queda recente de aprendizado,IPS,Baixa participação,Promover participação com controle de presença e atividades semanais
319,Aluno-319,2022,0,5.0,7.7,5.2,7.5,7.34375,7.5,Ametista,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
316,Aluno-316,2023,0,10.0,9.5,5.7,7.52,7.34375,8.96,Topázio,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
144,Aluno-144,2023,3,5.0,5.2,4.4,2.52,7.34375,6.0,Quartzo,Queda recente de aprendizado,IPS,Baixa participação,Promover participação com controle de presença e atividades semanais
263,ALUNO-263,2021,0,10.0,7.8,6.5,7.5,8.0,7.5,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
504,Aluno-504,2023,0,5.0,8.3,7.9,7.52,7.34375,8.836666667,Topázio,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
442,ALUNO-442,2021,3,5.0,4.2,0.7,7.5,7.5,6.8,Quartzo,Queda recente de aprendizado,IPP,Baixa persistência,Trabalhar persistência com acompanhamento individual e metas de continuidade
1122,ALUNO-1122,2022,0,10.0,9.61538461538461,8.77777777777777,7.5,7.5,8.50000749999999,Topázio,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1191,ALUNO-1191,2022,0,10.0,9.33333333333333,7.88888888888888,5.0,8.28125,8.2916725,Topázio,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1011,Aluno-1011,2023,2,5.0,8.6,5.2,3.77,7.34375,7.675,Ametista,Falha de aprendizado,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
768,Aluno-768,2024,0,5.0,7.9841897235,5.5,6.26,7.34375,7.495,Ametista,Deterioração gradual,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
143,Aluno-143,2024,3,10.0,9.92,2.63333333333333,6.885,7.34375,7.5,Ametista,Queda recente de aprendizado,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1212,Aluno-1212,2023,2,5.0,8.9,4.2,5.0,7.34375,7.715,Agata,Falha de aprendizado,IPS,Baixa participação,Promover participação com controle de presença e atividades semanais
39,Aluno-39,2023,0,10.0,9.1,7.8,7.52,7.34375,8.7575,Topázio,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
1075,Aluno-1075,2024,2,5.0,8.5154061625,6.0,3.755,7.34375,7.553333333,Agata,Falha de aprendizado,IEG,Baixo engajamento,Aumentar engajamento com acompanhamento ativo e metas de participação nas atividades
448,ALUNO-448,2021,0,10.0,7.8,6.3,7.5,7.5,8.1,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
555,Aluno-555,2024,3,5.0,2.75051759833333,4.33333333333333,6.885,7.34375,5.03,Quartzo,Queda recente de aprendizado,IPV,Baixa velocidade de aprendizado,Ajustar ritmo de ensino com reforço incremental e revisão contínua
5,ALUNO-5,2021,0,10.0,7.5,5.4,7.5,8.5,7.4,Ametista,Deterioração gradual,IAN_LAG,Histórico de baixo desempenho,Implementar plano de recuperação progressivo baseado no histórico
